[2014-03-23 11:29:25,378] in file: Database.py, module: Database at line 49 in execute_sql() | DEBUG | SQL query was : INSERT INTO VictimLocation (lat,lng,route,         sublocality, city, country) values (45.3571195,25.5397671,'Strada Furnica','Prahova','Sinaia','Romania');
[2014-03-23 11:29:25,379] in file: Database.py, module: Database at line 53 in execute_sql() | DEBUG | SQL query executed was: INSERT INTO VictimLocation (lat,lng,route,         sublocality, city, country) values (45.3571195,25.5397671,'Strada Furnica','Prahova','Sinaia','Romania');
[2014-03-23 11:29:25,398] in file: Database.py, module: Database at line 49 in execute_sql() | DEBUG | SQL query was : SELECT * FROM VictimLocation;
[2014-03-23 11:29:25,399] in file: Database.py, module: Database at line 53 in execute_sql() | DEBUG | SQL query executed was: SELECT * FROM VictimLocation;
[2014-03-23 11:29:25,537] in file: Database.py, module: Database at line 49 in execute_sql() | DEBUG | SQL query was : INSERT INTO VictimLocation (lat,lng,route,         sublocality, city, country) values (44.417126,26.110211,'Strada Petre Liciu','Sector 4','Bucharest','Romania');
[2014-03-23 11:29:25,538] in file: Database.py, module: Database at line 53 in execute_sql() | DEBUG | SQL query executed was: INSERT INTO VictimLocation (lat,lng,route,         sublocality, city, country) values (44.417126,26.110211,'Strada Petre Liciu','Sector 4','Bucharest','Romania');
[2014-03-23 11:29:25,574] in file: Database.py, module: Database at line 49 in execute_sql() | DEBUG | SQL query was : SELECT * FROM VictimLocation;
[2014-03-23 11:29:25,576] in file: Database.py, module: Database at line 53 in execute_sql() | DEBUG | SQL query executed was: SELECT * FROM VictimLocation;
[2014-03-23 11:29:25,697] in file: Database.py, module: Database at line 49 in execute_sql() | DEBUG | SQL query was : INSERT INTO VictimLocation (lat,lng,route,         sublocality, city, country) values (46.6023,22.98421,'DN1R','Cluj County','Belis','Romania');
[2014-03-23 11:29:25,698] in file: Database.py, module: Database at line 53 in execute_sql() | DEBUG | SQL query executed was: INSERT INTO VictimLocation (lat,lng,route,         sublocality, city, country) values (46.6023,22.98421,'DN1R','Cluj County','Belis','Romania');
[2014-03-23 11:29:25,729] in file: Database.py, module: Database at line 49 in execute_sql() | DEBUG | SQL query was : SELECT * FROM VictimLocation;
[2014-03-23 11:29:25,730] in file: Database.py, module: Database at line 53 in execute_sql() | DEBUG | SQL query executed was: SELECT * FROM VictimLocation;
[2014-03-23 11:29:25,868] in file: Database.py, module: Database at line 49 in execute_sql() | DEBUG | SQL query was : INSERT INTO VictimLocation (lat,lng,route,         sublocality, city, country) values (44.402913,26.136045,'Splaiul Unirii','Sector 4','Bucharest','Romania');
[2014-03-23 11:29:25,869] in file: Database.py, module: Database at line 53 in execute_sql() | DEBUG | SQL query executed was: INSERT INTO VictimLocation (lat,lng,route,         sublocality, city, country) values (44.402913,26.136045,'Splaiul Unirii','Sector 4','Bucharest','Romania');
[2014-03-23 11:29:25,882] in file: Database.py, module: Database at line 49 in execute_sql() | DEBUG | SQL query was : SELECT * FROM VictimLocation;
[2014-03-23 11:29:25,883] in file: Database.py, module: Database at line 53 in execute_sql() | DEBUG | SQL query executed was: SELECT * FROM VictimLocation;
[2014-03-23 11:29:26,026] in file: Database.py, module: Database at line 49 in execute_sql() | DEBUG | SQL query was : INSERT INTO VictimLocation (lat,lng,route,         sublocality, city, country) values (45.18536,29.655238,'DC2','Judetul Tulcea','Sulina','Romania');
